Date,rates
2004-12-31,0.0424
2005-01-31,0.0414
2005-02-28,0.0436
2005-03-31,0.045
2005-04-30,0.0421
2005-05-31,0.04
2005-06-30,0.0394
2005-07-31,0.042800000000000005
2005-08-31,0.04019999999999999
2005-09-30,0.0434
2005-10-31,0.045700000000000005
2005-11-30,0.0449
2005-12-31,0.043899999999999995
2006-01-31,0.0453
2006-02-28,0.0455
2006-03-31,0.048600000000000004
2006-04-30,0.0507
2006-05-31,0.0512
2006-06-30,0.051500000000000004
2006-07-31,0.0499
2006-08-31,0.047400000000000005
2006-09-30,0.0464
2006-10-31,0.0461
2006-11-30,0.0446
2006-12-31,0.0471
2007-01-31,0.0483
2007-02-28,0.045599999999999995
2007-03-31,0.04650000000000001
2007-04-30,0.0463
2007-05-31,0.049
2007-06-30,0.050300000000000004
2007-07-31,0.0478
2007-08-31,0.0454
2007-09-30,0.045899999999999996
2007-10-31,0.044800000000000006
2007-11-30,0.0397
2007-12-31,0.0404
2008-01-31,0.036699999999999997
2008-02-29,0.0353
2008-03-31,0.0345
2008-04-30,0.0377
2008-05-31,0.0406
2008-06-30,0.039900000000000005
2008-07-31,0.039900000000000005
2008-08-31,0.0383
2008-09-30,0.0385
2008-10-31,0.0401
2008-11-30,0.029300000000000003
2008-12-31,0.0225
2009-01-31,0.0287
2009-02-28,0.0302
2009-03-31,0.0271
2009-04-30,0.0316
2009-05-31,0.0347
2009-06-30,0.0353
2009-07-31,0.0352
2009-08-31,0.034
2009-09-30,0.0331
2009-10-31,0.0341
2009-11-30,0.0321
2009-12-31,0.0385
2010-01-31,0.0363
2010-02-28,0.0361
2010-03-31,0.0384
2010-04-30,0.0369
2010-05-31,0.0331
2010-06-30,0.0297
2010-07-31,0.0294
2010-08-31,0.024700000000000003
2010-09-30,0.0253
2010-10-31,0.0263
2010-11-30,0.0281
2010-12-31,0.033
2011-01-31,0.0342
2011-02-28,0.0342
2011-03-31,0.0347
2011-04-30,0.0332
2011-05-31,0.0305
2011-06-30,0.0318
2011-07-31,0.0282
2011-08-31,0.0223
2011-09-30,0.0192
2011-10-31,0.0217
2011-11-30,0.0208
2011-12-31,0.0189
2012-01-31,0.0183
2012-02-29,0.019799999999999998
2012-03-31,0.0223
2012-04-30,0.0195
2012-05-31,0.0159
2012-06-30,0.0167
2012-07-31,0.0151
2012-08-31,0.015700000000000002
2012-09-30,0.0165
2012-10-31,0.0172
2012-11-30,0.016200000000000003
2012-12-31,0.0178
2013-01-31,0.0202
2013-02-28,0.0189
2013-03-31,0.0187
2013-04-30,0.017
2013-05-31,0.0216
2013-06-30,0.0252
2013-07-31,0.026000000000000002
2013-08-31,0.0278
2013-09-30,0.0264
2013-10-31,0.025699999999999997
2013-11-30,0.0275
2013-12-31,0.0304
2014-01-31,0.026699999999999998
2014-02-28,0.026600000000000002
2014-03-31,0.0273
2014-04-30,0.026699999999999998
2014-05-31,0.0248
2014-06-30,0.0253
2014-07-31,0.0258
2014-08-31,0.0235
2014-09-30,0.0252
2014-10-31,0.0235
2014-11-30,0.0218
2014-12-31,0.0217
2015-01-31,0.0168
2015-02-28,0.02
2015-03-31,0.0194
2015-04-30,0.020499999999999997
2015-05-31,0.0212
2015-06-30,0.0235
2015-07-31,0.022000000000000002
2015-08-31,0.022099999999999998
2015-09-30,0.0206
2015-10-31,0.0216
2015-11-30,0.022099999999999998
2015-12-31,0.0227
2016-01-31,0.0194
2016-02-29,0.0174
2016-03-31,0.0178
2016-04-30,0.0183
2016-05-31,0.0184
2016-06-30,0.0149
2016-07-31,0.0146
2016-08-31,0.0158
2016-09-30,0.016
2016-10-31,0.0184
2016-11-30,0.023700000000000002
2016-12-31,0.0245
2017-01-31,0.0245
2017-02-28,0.0236
2017-03-31,0.024
2017-04-30,0.0229
2017-05-31,0.022099999999999998
2017-06-30,0.0231
2017-07-31,0.023
2017-08-31,0.0212
2017-09-30,0.0233
2017-10-31,0.023799999999999998
2017-11-30,0.0242
2017-12-31,0.024
2018-01-31,0.027200000000000002
2018-02-28,0.0287
2018-03-31,0.0274
2018-04-30,0.029500000000000002
2018-05-31,0.028300000000000002
2018-06-30,0.0285
2018-07-31,0.0296
2018-08-31,0.0286
2018-09-30,0.0305
2018-10-31,0.0315
2018-11-30,0.0301
2018-12-31,0.0269
2019-01-31,0.0263
2019-02-28,0.0273
2019-03-31,0.0241
2019-04-30,0.025099999999999997
2019-05-31,0.021400000000000002
2019-06-30,0.02
2019-07-31,0.0202
2019-08-31,0.015
2019-09-30,0.0168
2019-10-31,0.0169
2019-11-30,0.0178
2019-12-31,0.0192
